Reference,Pin,PinName,ElectricalType,Net
U6,7,INT/DRDY,O,MAG_DRDY
U6,9,VDD,W,3V3
U6,11,NC,N,NC
U6,2,NC,N,NC
U6,4,SDA/SDI/SDO,B,I2C_SDA
U6,6,GND,W,GND
U6,8,GND,W,GND
U6,10,VDD_IO,W,3V3
U6,12,NC,N,NC
U7,1,IN,W,3V3
U7,3,EN,I,3V3
U7,5,OUT,w,GNSS_3V0
U7,2,GND,W,GND
U7,4,NC,N,NC
U8,1,B2,I,GNSS_TX_3V0
U8,3,VCCA,W,3V3
U8,5,A1,I,GNSS_UART_TX_3V3
U8,7,VCCB,W,GNSS_3V0
U8,2,GND,W,GND
U8,4,A2Y,O,GNSS_UART_RX_3V3
U8,6,OE,I,3V3
U8,8,B1Y,O,GNSS_RX_3V0
U9,1,NC,N,NC
U9,3,GND,W,GND
U9,5,VCC,W,3V3
U9,2,A,I,GNSS_PPS_3V0
U9,4,Y,O,GNSS_PPS_3V3
Q1,1,G,I,GNSS_RESET_DRV
Q1,3,D,P,GNSS_RESET_N_1V8
Q1,2,S,P,GND
U10,1,GND,W,GND
U10,3,RXD,I,GNSS_RX_3V0
U10,5,RESERVED,N,NC
U10,7,RESERVED,N,NC
U10,9,RESET_N,I,GNSS_RESET_N_1V8
U10,11,RF_IN,I,GNSS_RF_IN
U10,13,ANT_ON,O,GNSS_ANT_ON
U10,15,RESERVED,N,NC
U10,17,I2C_SCL,B,NC
U10,19,RESERVED,N,NC
U10,21,GEOFENCE,O,NC
U10,23,3D_FIX,O,NC
U10,25,SPI_CLK,I,NC
U10,27,SPI_MOSI,I,NC
U10,2,TXD,O,GNSS_TX_3V0
U10,4,1PPS,O,GNSS_PPS_3V0
U10,6,V_BCKP,W,GNSS_3V0
U10,8,VCC,W,GNSS_3V0
U10,10,GND,W,GND
U10,12,GND,W,GND
U10,14,VDD_RF,w,GNSS_VDD_RF
U10,16,I2C_SDA,B,NC
U10,18,RESERVED,N,NC
U10,20,SPI_CS,I,NC
U10,22,JAM_IND,O,NC
U10,24,D_SEL,I,GND
U10,26,SPI_MISO,O,NC
U10,28,GND,W,GND
R1,1,1,P,LCD_SIO0_MCU
R1,2,2,P,LCD_SIO0
R2,1,1,P,LCD_SIO1_MCU
R2,2,2,P,LCD_SIO1
R3,1,1,P,LCD_SIO2_MCU
R3,2,2,P,LCD_SIO2
R4,1,1,P,LCD_SIO3_MCU
R4,2,2,P,LCD_SIO3
R5,1,1,P,LCD_CLK_MCU
R5,2,2,P,LCD_CLK
R6,1,1,P,LCD_CS_N_MCU
R6,2,2,P,LCD_CS_N
FB1,1,1,P,3V3
FB1,2,2,P,3V3_DISPLAY
R7,1,1,P,3V3
R7,2,2,P,LCD_RESET_N
R8,1,1,P,3V3
R8,2,2,P,TP_RESET_N
R9,1,1,P,3V3
R9,2,2,P,TP_INT_N
C1,1,1,P,3V3_DISPLAY
C1,2,2,P,GND
C2,1,1,P,3V3_DISPLAY
C2,2,2,P,GND
R12,1,1,P,USB_SHIELD
R12,2,2,P,GND
C3,1,1,P,USB_SHIELD
C3,2,2,P,GND
R13,1,1,P,USB_D_P_CONN
R13,2,2,P,USB_D_P_MCU
R14,1,1,P,USB_D_N_CONN
R14,2,2,P,USB_D_N_MCU
R15,1,1,P,USB_VBUS
R15,2,2,P,TYPEC_VBUS_DET
R16,1,1,P,3V3
R16,2,2,P,TYPEC_INT_N
D1,1,1,P,USB_VBUS
D1,2,2,P,GND
C4,1,1,P,USB_VBUS
C4,2,2,P,GND
C5,1,1,P,USB_VBUS
C5,2,2,P,GND
C6,1,1,P,3V3
C6,2,2,P,GND
C7,1,1,P,BQ_BTST
C7,2,2,P,BQ_SW
C8,1,1,P,BQ_REGN
C8,2,2,P,GND
R17,1,1,P,3V3
R17,2,2,P,CHARGER_PG_N
R18,1,1,P,BQ_ILIM
R18,2,2,P,GND
R19,1,1,P,BQ_TS_BIAS
R19,2,2,P,BAT_TS
R20,1,1,P,BAT_TS
R20,2,2,P,GND
C9,1,1,P,BAT
C9,2,2,P,GND
L1,1,1,P,BQ_SW
L1,2,2,P,SYS
C10,1,1,P,SYS
C10,2,2,P,GND
C11,1,1,P,SYS
C11,2,2,P,GND
C12,1,1,P,BQ_PMID
C12,2,2,P,GND
C13,1,1,P,USB_VBUS
C13,2,2,P,GND
R21,1,1,P,3V3
R21,2,2,P,CHARGER_STAT_N
R22,1,1,P,3V3
R22,2,2,P,CHARGER_INT_N
R23,1,1,P,BQ_CE_N
R23,2,2,P,GND
L2,1,1,P,TPS63070_L1
L2,2,2,P,TPS63070_L2
C14,1,1,P,SYS
C14,2,2,P,GND
C15,1,1,P,SYS
C15,2,2,P,GND
C16,1,1,P,3V3
C16,2,2,P,GND
C17,1,1,P,3V3
C17,2,2,P,GND
C18,1,1,P,TPS63070_VAUX
C18,2,2,P,GND
R24,1,1,P,3V3
R24,2,2,P,TPS63070_FB
R25,1,1,P,TPS63070_FB
R25,2,2,P,GND
R26,1,1,P,3V3
R26,2,2,P,3V3_PG_N
R34,1,1,P,SYS
R34,2,2,P,TPS_EN_SYNC
R27,1,1,P,3V3
R27,2,2,P,I2C_SCL
R28,1,1,P,3V3
R28,2,2,P,I2C_SDA
C19,1,1,P,3V3
C19,2,2,P,GND
C20,1,1,P,3V3
C20,2,2,P,GND
R29,1,1,P,3V3
R29,2,2,P,MCU_EN
C21,1,1,P,MCU_EN
C21,2,2,P,GND
SW2,1,1,P,MCU_EN
SW2,2,2,P,GND
R30,1,1,P,3V3
R30,2,2,P,BOOT_N
SW3,1,1,P,BOOT_N
SW3,2,2,P,GND
R31,1,1,P,3V3
R31,2,2,P,FUNC_KEY_N
SW4,1,1,P,FUNC_KEY_N
SW4,2,2,P,GND
SW1,1,1,P,BQ_QON
SW1,2,2,P,GND
C22,1,1,P,3V3
C22,2,2,P,GND
C23,1,1,P,3V3
C23,2,2,P,GND
C24,1,1,P,3V3
C24,2,2,P,GND
C25,1,1,P,3V3
C25,2,2,P,GND
C26,1,1,P,LIS2MDL_C1
C26,2,2,P,GND
C27,1,1,P,3V3
C27,2,2,P,GND
C28,1,1,P,GNSS_3V0
C28,2,2,P,GND
C29,1,1,P,3V3
C29,2,2,P,GND
C30,1,1,P,GNSS_3V0
C30,2,2,P,GND
R32,1,1,P,GNSS_RESET_DRV
R32,2,2,P,GND
J4,1,RF,P,GNSS_ANT_BIASED
J4,3,GND,W,GND
J4,2,GND,W,GND
D2,1,1,P,GNSS_ANT_BIASED
D2,2,2,P,GND
L3,1,1,P,GNSS_VDD_RF
L3,2,2,P,GNSS_ANT_BIASED
C31,1,1,P,GNSS_ANT_BIASED
C31,2,2,P,GNSS_RF_MATCH_IN
C32,1,1,P,GNSS_RF_MATCH_IN
C32,2,2,P,GND
R33,1,1,P,GNSS_RF_MATCH_IN
R33,2,2,P,GNSS_RF_IN
C33,1,1,P,GNSS_RF_IN
C33,2,2,P,GND
C34,1,1,P,GNSS_3V0
C34,2,2,P,GND
C35,1,1,P,GNSS_3V0
C35,2,2,P,GND
C36,1,1,P,GNSS_3V0
C36,2,2,P,GND
C37,1,1,P,GNSS_3V0
C37,2,2,P,GND
TP1,1,TP,P,USB_VBUS
TP2,1,TP,P,BAT
TP3,1,TP,P,SYS
TP4,1,TP,P,3V3
TP5,1,TP,P,GND
TP6,1,TP,P,I2C_SCL
TP7,1,TP,P,I2C_SDA
TP8,1,TP,P,UART0_TX
TP9,1,TP,P,UART0_RX
TP10,1,TP,P,GNSS_TX_3V0
TP11,1,TP,P,GNSS_RX_3V0
TP12,1,TP,P,GNSS_PPS_3V0
TP13,1,TP,P,GNSS_RESET_N_1V8
TP14,1,TP,P,CHARGER_INT_N
TP15,1,TP,P,TYPEC_INT_N
TP16,1,TP,P,GNSS_3V0
TP17,1,TP,P,GNSS_ANT_ON
#FLG01,1,PWR_FLAG,w,USB_VBUS
#FLG02,1,PWR_FLAG,w,BAT
#FLG03,1,PWR_FLAG,w,GND
